City_ID,City,Lat,Lng,Max Temp (F),Humidity,Cloudiness,Wind Speed,Country,Date
0,turpan,42.9333,89.1667,27.01,57,12,1.68,CN,2024-01-04 21:45:34
1,waitangi,-43.9535,-176.5597,62.82,88,100,26.64,NZ,2024-01-04 21:45:35
2,berekum,7.4534,-2.584,82.47,50,99,6.11,GH,2024-01-04 21:45:36
3,iqaluit,63.7506,-68.5145,2.93,60,75,3.44,CA,2024-01-04 21:45:36
4,yellowknife,62.456,-114.3525,-28.62,83,75,5.75,CA,2024-01-04 21:45:36
5,port mathurin,-19.6833,63.4167,82.26,81,80,9.6,MU,2024-01-04 21:45:37
6,colonia,50.9333,6.95,45.25,83,20,8.05,DE,2024-01-04 21:45:37
7,ishigaki,24.3448,124.1572,60.93,77,29,6.91,JP,2024-01-04 21:45:37
8,weno,7.4515,151.8468,82.35,78,75,8.05,FM,2024-01-04 21:45:38
9,marsabit,2.3284,37.9899,70.5,47,2,9.75,KE,2024-01-04 21:45:38
10,edinburgh of the seven seas,-37.0676,-12.3116,57.2,71,19,24.85,SH,2024-01-04 21:45:38
11,grytviken,-54.2811,-36.5092,44.06,78,91,7.14,GS,2024-01-04 21:45:38
12,port-aux-francais,-49.35,70.2167,40.6,69,47,28.79,TF,2024-01-04 21:45:39
13,candido mendes,-1.4467,-45.7167,76.53,95,95,4.05,BR,2024-01-04 21:45:39
14,shingu,33.7333,135.9833,39.88,71,0,5.95,JP,2024-01-04 21:45:39
15,cabo san lucas,22.8909,-109.9124,74.34,49,20,19.57,MX,2024-01-04 21:44:31
16,pokhara,28.2333,83.9833,51.35,40,4,5.46,NP,2024-01-04 21:45:40
17,uturoa,-16.7333,-151.4333,80.01,81,100,25.61,PF,2024-01-04 21:45:40
18,nova sintra,14.8667,-24.7167,70.07,63,0,16.46,CV,2024-01-04 21:45:40
19,port saint john's,-31.6229,29.5448,67.35,87,33,8.23,ZA,2024-01-04 21:45:41
20,bethel,41.3712,-73.414,36.36,52,75,9.22,US,2024-01-04 21:44:49
21,semnan,35.5729,53.3971,41.61,53,25,2.04,IR,2024-01-04 21:45:41
22,avarua,-21.2078,-159.775,84.25,74,75,18.41,CK,2024-01-04 21:45:41
23,maragogi,-9.0122,-35.2225,80.71,81,65,12.12,BR,2024-01-04 21:45:17
24,port lincoln,-34.7333,135.8667,65.97,77,76,16.17,AU,2024-01-04 21:45:42
25,adamstown,-25.066,-130.1015,74.7,81,93,15.48,PN,2024-01-04 21:45:42
26,melekeok village,7.4957,134.6367,79.36,94,75,12.59,PW,2024-01-04 21:45:42
27,afaahiti,-17.75,-149.2833,78.67,86,100,21.79,PF,2024-01-04 21:45:43
28,kostopil',50.8784,26.4519,41.99,91,100,12.5,UA,2024-01-04 21:45:43
29,longyearbyen,78.2186,15.6401,-2.36,60,75,8.05,SJ,2024-01-04 21:45:43
30,bilibino,68.0546,166.4372,-24.66,99,100,1.61,RU,2024-01-04 21:45:43
31,walvis bay,-22.9575,14.5053,65.35,88,3,8.05,NA,2024-01-04 21:45:44
32,ushuaia,-54.8,-68.3,47.86,81,100,8.05,AR,2024-01-04 21:41:46
33,alofi,-19.0595,-169.9187,84.09,70,75,12.66,NU,2024-01-04 21:45:44
34,marechal candido rondon,-24.5561,-54.0567,80.02,69,46,1.97,BR,2024-01-04 21:45:44
35,verkhnevilyuysk,63.4453,120.3167,-21.33,94,100,7.16,RU,2024-01-04 21:45:45
36,mangrol,21.1167,70.1167,65.28,41,2,11.5,IN,2024-01-04 21:45:45
